bce_number,name,status
0207447861,Gemeente Assenede,AC
0207448158,Stad Eeklo,AC
0207448356,Gemeente Kaprijke,AC
0207448554,Gemeente Maldegem,AC
0207448851,Gemeente Sint-Laureins,AC
0207449346,Gemeente Zelzate,AC
0207450633,Gemeente Destelbergen,AC
0207451128,Gemeente Evergem,AC
0207451227,Stad Gent,AC
0207451326,Gemeente Gavere,AC
0207452514,Gemeente Lochristi,AC
0207454294,Gemeente Oosterzele,AC
0207456868,Gemeente Zulte,AC
0207460432,Stad Ronse,AC
0207463402,Stad Lokeren,AC
0207464093,Gemeente Sint-Gillis-Waas,AC
0207464192,Stad Sint-Niklaas,AC
0207464489,Gemeente Stekene,AC
0207464588,Gemeente Temse,AC
0207465083,Gemeente As,AC
0207465281,Stad Beringen,AC
0207465974,Gemeente Diepenbeek,AC
0207466469,Gemeente Gingelom,AC
0207466766,Gemeentebestuur van Halen,AC
0207466964,Stad Hasselt,AC
0207467162,Stad Herk-de-Stad,AC
0207468152,Gemeente Leopoldsburg,AC
0207468350,Gemeente Lummen,AC
0207469142,Gemeente Nieuwerkerken (Limb.),AC
0207469934,Stad Sint-Truiden,AC
0207471221,Gemeente Zonhoven,AC
0207471320,Gemeente Zutendaal,AC
0207471518,Gemeente Bocholt,AC
0207471617,Stad Bree,AC
0207471716,Stad Dilsen-Stokkem,AC
0207472904,Gemeente Kinrooi,AC
0207473102,Stad Lommel,AC
0207473201,Stad Maaseik,AC
0207474189,Stad Peer,AC
0207474882,Gemeente Alken,AC
0207475377,Stad Bilzen-Hoeselt,AC
0207476862,Gemeente Heers,AC
0207477456,Gemeente Herstappe,AC
0207478743,Gemeente Lanaken,AC
0207480921,Gemeente Riemst,AC
0207483691,Gemeente Wellen,AC
0207484186,Gemeente Drogenbos,AC
0207484285,Gemeente Kraainem,AC
0207484384,Gemeente Linkebeek,AC
0207484582,Gemeente Zwevegem,AC
0207484681,Stad Ieper,AC
0207484780,Gemeente Anzegem,AC
0207485374,Stad Geraardsbergen,AC
0207485473,Gemeente Ingelmunster,AC
0207485770,Gemeente Avelgem,AC
0207485869,Stad Nieuwpoort,AC
0207487354,Gemeente Ledegem,AC
0207488344,Gemeente Staden,AC
0207488443,Gemeente Deerlijk,AC
0207488641,Gemeente Wevelgem,AC
0207489037,Stad Izegem,AC
0207490621,Gemeente Hooglede,AC
0207491215,Stad Oudenburg,AC
0207491413,Stad Gistel,AC
0207491710,Gemeente Lendelede,AC
0207492502,Stad Harelbeke,AC
0207493391,Stad Wervik,AC
0207494480,Gemeente Koksijde,AC
0207494579,Stad Veurne,AC
0207494678,Stad Kortrijk,AC
0207495074,Gemeente Alveringem,AC
0207495470,Gemeente Wingene,AC
0207495668,Gemeente Middelkerke,AC
0207499133,Gemeente Zoersel,AC
0207499430,Stad Mechelen,AC
0207499727,Gemeente Putte,AC
0207500123,Stad Antwerpen,AC
0207500321,Gemeente Brecht,AC
0207500420,Gemeente Bornem,AC
0207501113,Gemeente Willebroek,AC
0207501311,Gemeente Ranst,AC
0207501410,Gemeente Lint,AC
0207501707,Gemeente Schilde,AC

